date,open,high,low,close,volume
2003-08-19,9.3772,9.4521,9.3579,9.4521,15372
2003-08-20,9.3665,9.3686,9.2209,9.2316,14515
2003-08-21,9.2272,9.2808,9.1716,9.178,25434
2003-08-22,9.1673,9.1673,9.0025,9.0731,22137
2003-08-25,9.1159,9.1159,9.0067,9.0367,23593
2003-08-26,9.0903,9.3023,9.0453,9.268,49498
2003-08-27,9.2145,9.2316,9.1032,9.1995,31343
2003-08-28,9.2059,9.238,9.1802,9.2059,14173
2003-08-29,9.2059,9.3193,9.2059,9.2123,27318
2003-09-02,9.1888,9.2937,9.1309,9.2594,33698
2003-09-03,9.3086,9.405,9.3022,9.3279,30915
2003-09-04,9.39,9.3985,9.3065,9.345,18240
2003-09-05,9.3279,9.3772,9.298,9.3151,16185
2003-09-08,9.2894,9.3451,9.2573,9.2573,9720
2003-09-09,9.3001,9.3729,9.2873,9.3258,36481
2003-09-10,9.3536,9.4456,9.3429,9.4135,29373
2003-09-11,9.3708,9.3858,9.3451,9.3622,20039
2003-09-12,9.3771,9.4285,9.3707,9.3857,21752
2003-09-15,9.3557,9.3771,9.3386,9.3386,11133
2003-09-16,9.3365,9.405,9.3344,9.405,25777
2003-09-17,9.3664,9.4499,9.3664,9.4071,12460
2003-09-18,9.405,9.4306,9.3621,9.4071,42818
2003-09-19,9.465,9.5378,9.4457,9.4564,25648
2003-09-22,9.4521,9.4927,9.4521,9.4756,14943
2003-09-23,9.4221,9.4607,9.3815,9.4414,41705
2003-09-24,9.4456,9.4842,9.4114,9.4392,21195
2003-09-25,9.4543,9.4671,9.3793,9.3879,11903
2003-09-26,9.3707,9.4221,9.3429,9.3472,15029
2003-09-29,9.3215,9.3707,9.3193,9.3707,22651
2003-09-30,9.3857,9.4499,9.3729,9.3964,15457
2003-10-01,9.4413,9.5784,9.4199,9.5698,18112
2003-10-02,9.5441,9.6019,9.5184,9.5634,17855
2003-10-03,9.5613,9.6234,9.5463,9.5656,16014
2003-10-06,9.5655,9.6169,9.527,9.6169,12417
2003-10-07,9.6297,9.8246,9.6297,9.8053,46457
2003-10-08,9.8203,9.8781,9.7967,9.816,17769
2003-10-09,9.8182,9.8718,9.7947,9.8482,19739
2003-10-10,9.9488,10.043,9.9445,10.0387,37851
2003-10-13,9.9851,10.0622,9.9808,10.0622,16956
2003-10-14,10.0622,10.2057,10.0622,10.1907,33783
2003-10-15,10.1907,10.4219,10.1757,10.3491,41105
2003-10-16,10.3469,10.3683,10.2463,10.2613,42432
2003-10-17,10.2635,10.302,10.2485,10.2956,20595
2003-10-20,10.2634,10.3683,10.2634,10.3448,21709
2003-10-21,10.302,10.4947,10.2956,10.4947,25991
2003-10-22,10.5225,10.651,10.5204,10.651,45259
2003-10-23,10.6081,10.6447,10.5434,10.593,28245
2003-10-24,10.5671,10.5758,10.468,10.5693,15653
2003-10-27,10.58,10.6081,10.5218,10.5865,29064
2003-10-28,10.5629,10.6664,10.5564,10.6642,27642
2003-10-29,10.6555,10.6921,10.5757,10.5865,21345
2003-10-30,10.621,10.6361,10.5046,10.524,28806
2003-10-31,10.5003,10.5219,10.2955,10.3882,48211
2003-11-03,10.3451,10.4141,10.3084,10.3839,28461
2003-11-04,10.3882,10.5952,10.3882,10.5456,39845
2003-11-05,10.5369,10.6814,10.5305,10.5477,24278
2003-11-06,10.5413,10.6016,10.5089,10.5348,28504
2003-11-07,10.593,10.7073,10.593,10.6038,17076
2003-11-10,10.6469,10.6685,10.5133,10.565,32299
2003-11-11,10.5499,10.5521,10.4723,10.496,16042
2003-11-12,10.5498,10.6102,10.5261,10.552,20311
2003-11-13,10.5434,10.5995,10.5025,10.5111,18715
2003-11-14,10.5089,10.5715,10.4119,10.4421,21475
2003-11-17,10.4356,10.4421,10.3278,10.4184,22208
2003-11-18,10.4895,10.5844,10.4744,10.5477,34800
2003-11-19,10.5693,10.7332,10.5607,10.6879,33463
2003-11-20,10.6965,10.7871,10.6556,10.7418,26779
2003-11-21,10.6749,10.7914,10.6749,10.6965,26995
2003-11-24,10.6727,10.7288,10.5283,10.5865,15653
2003-11-25,10.6793,10.7052,10.4852,10.5111,39759
2003-11-26,10.5455,10.5455,10.3083,10.3795,59552
2003-11-28,10.3925,10.3925,10.3084,10.3235,19233
2003-12-01,10.2804,10.2804,10.1273,10.1704,41397
2003-12-02,10.1553,10.1984,10.1014,10.1337,50841
2003-12-03,10.1855,10.2588,10.1747,10.2114,39198
2003-12-04,10.2415,10.2652,10.1639,10.2135,22553
2003-12-05,10.2006,10.3041,10.2006,10.2674,19966
2003-12-08,10.2718,10.4033,10.2718,10.3688,29065
2003-12-09,10.3817,10.3817,10.207,10.2286,22596
2003-12-10,10.207,10.207,10.0949,10.1682,27339
2003-12-11,10.0001,10.1338,9.9742,10.1079,19103
2003-12-12,10.1143,10.1337,10.0044,10.0324,24407
2003-12-15,10.0518,10.0647,9.8836,9.8944,45235
2003-12-16,9.8599,9.9311,9.8276,9.8405,26003
2003-12-17,9.8211,9.9505,9.7801,9.944,127858
2003-12-18,9.8901,9.9936,9.8901,9.9634,29237
2003-12-19,9.9289,9.9548,9.8643,9.8966,27943
2003-12-22,9.916,9.9828,9.916,9.9742,13066
2003-12-23,9.9915,10.0475,9.9591,10.0303,14446
